,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
10,10,"dull, boring and some cheesy acting.",Enzo F,2024-06-29,dull boring cheese acting,negativo
11,11,"Madame Web was a major disappointment. With some of the worst writing seen in a longtime, Madame Web constantly narrates the obvious like the audience is dumb. The action scene are so dull unimaginative and extremely predictable. It’s hard to know if casting was good because they were never given a chance to succeed.",Jose R,2024-06-29,madame web major disappointment worst writing seen longtime madame web constantly narrates obvious like audience dumb action scene dull imaginative extremely predictable ’ hard know casting good never given chance succeed,negativo
12,12,"Is this the best movie ever made? I don’t know I haven’t seen them all but Madame Webb sure has. I laughed, I cried ( only from laughing), and I was thoroughly confused why I had to see a man’s feet so much. Will watch again",casey m,2024-06-29,best movie ever made ’ know ’ seen madame webb sure laughed cried laughing thoroughly confused see man ’ foot much watch,positivo
13,13,"I only got up the courage to watch it yesterday due to the reviews, and yes, it's really bad, everything, only Uncle Ben and Peter's mother have a decent performance, the direction and script are ridiculous, the costume is very bad, sad.",Ricele I,2024-06-28,got courage watch yesterday due review yes really bad everything uncle ben peter mother decent performance direction script ridiculous costume bad sad,negativo
14,14,"This movie isn't as great as it should be, but it's not as bad as some have said.  

Let's get the bad parts out of the way.  The dialogue is laughably horrible.  It doesn't seem like anyone older than 12 wrote the script.  But, you know super hero movies sometime get bogged down by this.  

It's way too long.  This movie has no business being over 90 minutes long, there's just not much story to tell.  90 minutes would have been plenty of time.  

The foreshadowing feels very forced. It seems kind of insulting.  

The ending didn't seem that interesting, just a fight at the end that you know the heroes will win.  And it was kind of assaulting with the characters just shrieking everyone else's names back and forth.  I think to make this movie great they needed to nail the end, and I was pretty apathetic towards it.  

Okay, now to the good stuff.  It did feel like Madame Web.  It kind of seemed like what they were trying to create was what they created.  I did feel that they didn't make her feel likeable enough, but eventually she did seem like a great hero.  This didn't feel like someone trying to be Madame Web, it kind of felt like Madame Web. And it felt like a Madame Web movie, if they tried to put other big characters in there it would have overshadowed her.  

Her power doesn't translate well to a movie, but they did  a good job of making her seem powerful.  

I never felt insulted for being a comic book fan, and unfortunately, that is something that comic movies normally do.  

Was nice to see the spiderman world and to see Ben Parker and the niece of JJ Jameson.  

I think for what they were given, Madame Web told a decent origin story.  I usually don't make it through the end to most movies, but I was invested throughout.  Not a great movie, but if you are a spiderman fan, I would recommend it.",Josh P,2024-06-27,movie isnt great bad said let get bad part way dialogue laughable horrible doesnt seem like anyone older wrote script know super hero movie sometime get bogged way long movie business minute long there much story tell minute would plenty time foreshadowing feel forced seems kind insulting ending didnt seem interesting fight end know hero win kind assaulting character shrinking everyone el name back forth think make movie great needed nail end pretty pathetic towards okay good stuff feel like madame web kind seemed like trying create created feel didnt make feel liable enough eventually seem like great hero didnt feel like someone trying madame web kind felt like madame web felt like madame web movie tried put big character would overshadowed power doesnt translate well movie good job making seem powerful never felt insulted comic book fan unfortunately something comic movie normally nice see sideman world see ben parker niece jj james think given madame web told decent origin story usually dont make end movie invested throughout great movie sideman fan would recommend,positivo
15,15,"The movie was okay, I was expecting more acting and a story line. I am hoping that they have another part.",Rachel  N,2024-06-27,movie okay expecting acting story line hoping another part,positivo
16,16,"I started this movie with high hopes but it definitely did not live up to my expectations. The acting was horribly fake, the plot line was all over the place, and the characters didn’t connect with me at all.",,2024-06-26,started movie high hope definitely live expectation acting horribly fake plot line place character ’ connect,negativo
17,17,"My 2 hours were wasted. The acting, the dialogue, and the story don't make any sense.",Jei G,2024-06-26,hour wasted acting dialogue story dont make sense,negativo
18,18,"Dakota has a pretty face, but she’s not the perfect actress for the role. Her “50-Shades” aura and acting style still lingers, which is the exact opposite of what cassie should be.

Plot is dull, dragging, I keep on skipping almost the entire time. The three girls doesn’t make sense, and how they intertwine with the story. The villain that changes from strong to weak just to fit with the story.

I don’t even know if kids and teenagers will enjoy this. 

Just a pretty face",Rhee II T,2024-06-26,dakota pretty face ’ perfect actress role “ shade ” aura acting style still singers exact opposite case plot dull dragging keep skipping almost entire time three girl ’ make sense intertwined story villain change strong weak fit story ’ even know kid teenager enjoy pretty face,positivo
19,19,Creo que definitivamente la peor película que he visto en 2024.,JORGE R,2024-06-26,think definitely worst movie ive seen,negativo
40,40,"The issue with this movie is you don't even need to watch it to know it's going to be bad. Sony are yet to make a decent Superhero movie. They don't care about the story or the fans they just want to cash in on the MCU hype. 

Sony make awful movie after movie giving the fans movies about spiderman villains and allies in the hope that the mere thought of seeing these characters in their own movie will make us gloss over the fact the movies are utter disgraceful and complete box office flops. 

Lets see where Sony go wrong next.",Lord R,2024-06-26,issue movie dont even need watch know going bad sony yet make decent superhero movie dont care story fan want cash mcu hype sony make awful movie movie giving fan movie sideman villain ally hope mere thought seeing character movie make u gloss fact movie utter disgraceful complete box office flop let see sony go wrong next,negativo
41,41,"Sony continues to seek to expand its universe of Spider-Man villains, and it's remarkable how it persists in making mistakes, getting worse as its films are released. While Venom still stands out for his charisma, Morbius and Madame Web can be considered among the worst films in the hero universe of all time. Now it remains to be seen whether Kraven will follow in the footsteps of his predecessors or present a twist... a significant challenge.

The problems begin with Sony's choice to hire the same screenwriters as 'Morbius' for 'Madame Web' - what outcome could we expect? Burk Sharpless and Matt Sazama once again demonstrate incompetence in writing a cohesive script, with character development and motivations. The movie unfolds in a sequence of disconnected and accidental events. Nothing in it follows a coherent logic or timeline.

However, it's not just the script that disappoints. The editing of 'Madame Teia' is disastrous, making the movie confusing and difficult to follow. It oscillates between being a superhero movie, an action movie, a drama or a comedy, and ends up being none of them. This inconsistency, combined with S.J. Clarkson's weak direction, makes 'Madame Web' one of the worst films of 2024.",,2024-06-25,sony continues seek expand universe sideman villain remarkable persists making mistake getting worse film released venom still stand charisma orbits madame web considered among worst film hero universe time remains seen whether raven follow footsteps predecessor present twist significant challenge problem begin songs choice hire screenwriter orbits madame web outcome could expect bulk sharpness matt sama demonstrate incompetence writing cohesive script character development motivation movie unfolds sequence disconnected accidental event nothing follows coherent logic timeline however script disappoint editing madame tea disastrous making movie confusing difficult follow oscillator superhero movie action movie drama comedy end none inconsistency combined sj clarkson weak direction make madame web one worst film,negativo
42,42,"This flick is so bad on so many levels, it's stunning. On par with the Aquaman movies in it's stinkitude.",Lee H,2024-06-25,flick bad many level stunning par aquaman movie stinkitude,negativo
43,43,I like Nicholas Cage movies including the bad ones because he passionately puts energy into it. This is not one of those popcorn bad movies you can be entertained with. Awful with no passion from any of the actors. They might as well have the script in their hands it was so bland.,Ralph G,2024-06-25,like nicholas cage movie including bad one passionately put energy one popcorn bad movie entertained awful passion actor might well script hand bland,positivo
44,44,I  couldn’t even finish it! Most disappointing marvel movie ever! Marvel you are getting very sloppy.,Angel D,2024-06-24,’ even finish disappointing marvel movie ever marvel getting sloppy,positivo
45,45,"Decent popcorn movie. It's not going to win any awards but I thought the story and acting were all kind of decent to good. I know nothing about the greater Spider-man universe so there may be some changes, but overall, a movie worth leaving on in the background.",Efrain S,2024-06-24,decent popcorn movie going win award thought story acting kind decent good know nothing greater sideman universe may change overall movie worth leaving background,positivo
46,46,"With a cast that's decently talented on thier own, the writing is just horrible and the amount of clichés just didn't hit. The story could have been a lot better. This was the first superhero movie with literally no superheros. This is basically just a copy of Nicolas Cages movie ""Knowing"" from 2009.

They turned good (not great) actors into horrible characters. Can't wait to not watch the sequel.",Mike K,2024-06-24,cast thats recently talented thier writing horrible amount clichés didnt hit story could lot better first superhero movie literally superhero basically copy nicolas cage movie knowing turned good great actor horrible character cant wait watch sequel,positivo
47,47,Clunky awkward script. The acting is cringy at times.,Braxton O,2024-06-23,clunky awkward script acting bring time,negativo
48,48,"No entiendo el hate a esta película, la acabo de ver y me gusto.",Eduardo M,2024-06-23,dont understand hate movie saw liked,positivo
49,49,"The main protagonist feeds milk to a stray cat, perpetuating the outdated and harmful myth that cats drink milk. This is not just a minor oversight but a significant failure in responsible filmmaking. Most adult cats are lactose intolerant, and feeding them milk can cause severe digestive issues. In an era where accurate information is readily available, such a mistake is inexcusable.

Director S.J. Clarkson, despite her impressive resume, has failed to pay attention to basic details that matter. This film had a multi-million dollar budget, yet it couldn't afford to get this simple fact right? Instead of pouring milk, which can harm cats, the protagonist could have easily fed the cat with dry or canned cat food, a far more accurate and responsible choice.",Zai D,2024-06-21,main protagonist feed milk stray cat perpetuating outdated harmful myth cat drink milk minor oversight significant failure responsible filmmaking adult cat lacrosse intolerant feeding milk cause severe digestive issue era accurate information readily available mistake inexcusable director sj clarkson despite impressive resume failed pay attention basic detail matter film multimillion dollar budget yet couldnt afford get simple fact right instead pouring milk harm cat protagonist could easily fed cat dry canned cat food far accurate responsible choice,negativo
50,50,"I don't even know what I watched as so many choices were made that just did not make sense at all. The villain was poorly written as well as the parts of the younger girls that Cassidy is kind of protecting. The movie was just very boring as well, there was something about it that made me look away at important parts causing me to have to rewind it which in essence made the movie 3 hours long for me.",,2024-06-20,dont even know watched many choice made make sense villain poorly written well part younger girl cassidy kind protecting movie boring well something made look away important part causing rewind essence made movie hour long,positivo
51,51,Rubbish story and terrible acting and I’m trying to be polite here. Don’t hold your breathe if ever there is a sequel.,,2024-06-20,rubbish story terrible acting ’ trying polite ’ hold breathe ever sequel,negativo
52,52,"Everything in this movie happens because of ""Reasons"".",Christian M,2024-06-20,everything movie happens reason,neutro
53,53,"Why? … just give the money it cost to make this …. Thing , to hungry kids or something. What a waste of time and money.",,2024-06-20,… give money cost make … thing hungry kid something waste time money,negativo
54,54,"It was dull all throughout. When you think the plot is building up it falls back down again. It's stagnant almost throughout the movie. It felt too long for it's plot and it somehow felt prolonged.

I believe it's a buildup for part 2 and I'm hoping the next movie would be better.",,2024-06-19,dull throughout think plot building fall back stagnant almost throughout movie felt long plot somehow felt prolonged believe buildup part im hoping next movie would better,positivo
55,55,"I really, really, got nothing nice to say about this movie…",Jasa F,2024-06-19,really really got nothing nice say movie…,negativo
56,56,"This movie is a ""Meh"", the editing is too much and Dakota Johnson doesn't seem to be fit in any superhero movies, if she was a movie then she's more like a comedy and romance. I suggest to never produce a movie like this again",Ivi W,2024-06-19,movie meh editing much dakota johnson doesnt seem fit superhero movie movie shes like comedy romance suggest never produce movie like,positivo
57,57,"I became interested in this movie because of the trailer and I was right. At first I thought it would be a typical Marvel movie, but with each passing minute the movie became more and more interesting and the atmosphere captured me more and more. Of course, this movie is not without Marvel problems, but I liked the movie and I'm glad I watched it. Very atmospheric and interesting movie.",,2024-06-19,became interested movie trailer right first thought would typical marvel movie passing minute movie became interesting atmosphere captured course movie without marvel problem liked movie im glad watched atmospheric interesting movie,positivo
58,58,Oof this was so corny. Dakota Johnson looked like she couldn't keep a straight face at the absurdity of every line.,Emma D,2024-06-19,of corn dakota johnson looked like couldnt keep straight face absurdity every line,positivo
59,59,"Unfortunately, this film suffers from the Sony curse. Very confusing dialogue, and unlikable characters.",Korzer L,2024-06-18,unfortunately film suffers sony curse confusing dialogue unlikable character,negativo
100,100,10/10 NO COMMENT! JUST WATCH IT.,Nathaniella Alessandra M,2024-06-18,comment watch,neutro
101,101,"Madam Web? 

More like a waste of Madam time!

Bring your insect killer with you to this flop, you're going to want to drink it by about the 10 minute mark.",Michael C,2024-06-18,madam web like waste madam time bring insect killer flop youre going want drink minute mark,negativo
102,102,"I don’t understand the bad ratings. I created an account just to say that! Like seriously I don’t understand the witch hunt against this movie! I think the ppl that were confused by this movie have bigger problems. Its like basic elementary level groundhogs day. It made total sense, evoked emotion, and was a great origin story.",Van J,2024-06-17,’ understand bad rating created account say like seriously ’ understand witch hunt movie think ppl confused movie bigger problem like basic elementary level grounding day made total sense evoked emotion great origin story,negativo
103,103,"Even by the standards of Sony's Marvel movies without Marvel Studios' involvement, this movie is extraordinarily bad.",Warren M,2024-06-17,even standard songs marvel movie without marvel studio involvement movie extraordinarily bad,negativo
104,104,I liked the movie it's about spider 🕷️,celestina m,2024-06-17,liked movie spider 🕷️,positivo
105,105,Horrible written Movie dun even care to elaborate,Zhi Cong C,2024-06-17,horrible written movie dun even care elaborate,negativo
106,106,"Here’s why i think it was a fail. Loved the actors, and there were scenes where my jaw dropped, but storyline, i was expecting way more, where are the ‘suit-up’ scenes?",Dina H,2024-06-17,’ think fail loved actor scene jaw dropped storyline expecting way ‘ suit ’ scene,positivo
107,107,Never watching that trash again,Sidney S,2024-06-17,never watching trash,neutro
108,108,what the skibidi rizz fanum tax with kai cenat drinking grimace shake in ohioi with bussin level 10 gyaatt rizz,Daquiavius  F,2024-06-17,skibidi riz num tax kai cent drinking grace shake ohio basin level wyatt riz,positivo
109,109,"Spent two hours of a short life on this piece of absolute trash. They literally did everything they could to make this super unoriginal. The script was horrible, the cinematography hurt my eyes, and the acting was so fake. If only they could take notes from guardians of the galaxy 3 or the batman. those are quality superhero films unlike this trash.  I feel like it Doesn't even try to be good. I don't feel bad saying this because the studio could've made something original but they decided not to. thanks for reading and have a great day :)",Carson K,2024-06-16,spent two hour short life piece absolute trash literally everything could make super original script horrible cinematography hurt eye acting fake could take note guardian galaxy batman quality superhero film unlike trash feel like doesnt even try good dont feel bad saying studio could made something original decided thanks reading great day,positivo
110,110,"It's just mid. Like watching a blank canvas the entire time. Movie was slow enough i am convincing myself to stay and watch it HELPPP. Visual is carrying this movie on it's cracking back, and the main characters are annoying af. Some dialogues are also pretty predictable!",Shafira L,2024-06-16,mid like watching blank canvas entire time movie slow enough convincing stay watch help visual carrying movie cracking back main character annoying af dialogue also pretty predictable,positivo
111,111,One Hour & fifty six minutes of my life I will never get back.,Matthew B,2024-06-16,one hour fifty six minute life never get back,neutro
112,112,"The strangest thing, is that I don't think any of the actors involved in this film will walk away with damaged reputations. I believe that most people realize that the failings here fall at the feet of the studio and the creatives that they hired.",Doctor J,2024-06-16,strongest thing dont think actor involved film walk away damaged reputation believe people realize failing fall foot studio creative hired,negativo
113,113,This is the worse movie that I have ever watched. Absolutely terrible.,Michael Y,2024-06-16,worse movie ever watched absolutely terrible,negativo
114,114,To say anything better then awful would be a nice way to put it.,Leo C,2024-06-15,say anything better awful would nice way put,positivo
115,115,"Poorest movie Direction seen in recent years.
This movie prove how good the Marvel @çq",Home T,2024-06-15,poorest movie direction seen recent year movie prove good marvel çq,positivo
116,116,"This was so difficult to watch. the acting was atrocious, the glrl with the skateboard was the worst of the main characters. The lead actress was like  reading from cue cards. Plus, the villain was a dud, poor actor, and not even remotely alarming..... The storyline was hard to follow.....",Richard M,2024-06-15,difficult watch acting atrocious girl skateboard worst main character lead actress like reading cue card plus villain dud poor actor even remotely alarming storyline hard follow,negativo
117,117,"Terrible script, mediocre acting, insanely idiotic decisions made by the characters constantly. Frustrating to watch. Skip skip skip.",justin t,2024-06-15,terrible script mediocre acting instantly idiotic decision made character constantly frustrating watch skip skip skip,negativo
118,118,"Bad script. Cringey deliveries. Unbelievable character actions/decisions. Small potential, medium at best, and most of that wasted. Who are they selling this to exactly? Not Marvel fans apparently",,2024-06-15,bad script fringe delivery unbelievable character actionsdecisions small potential medium best wasted selling exactly marvel fan apparently,positivo
119,119,So it had some cheesy parts. Some parts of the plot were just too easy. But what do you really expect from a movie like this? It wasn't nearly as bad as what I'd heard before watching it.,stephen b,2024-06-15,cheese part part plot easy really expect movie like wasnt nearly bad id heard watching,positivo
180,180,We loved the movie and hope there is a sequel! I laughed; I cried; I could relate to feeling’s!,Paula B,2024-06-14,loved movie hope sequel laughed cried could relate feeling ’,positivo
181,181,"WTF!!?? This movie was an atrocity!! It’s insult to any comic book fan. The writing, the acting, the fact this movie made little to no sense… if you respect yourself you will skip this move!",Juju  P,2024-06-14,wtf movie atrocity ’ insult comic book fan writing acting fact movie made little sense… respect skip move,negativo
182,182,"This is not the best movie you ever seen, not even close. But this isn't the cinematic travesty the media has portrayed it be either. It's a movie you can watch and just let it be what it is. It's not trying to test any boundaries or break any new ground. It's a comic book movie, that's it.",James M,2024-06-14,best movie ever seen even close isnt cinematic travesty medium portrayed either movie watch let trying test boundary break new ground comic book movie thats,positivo
183,183,"This type of movie quality is okay when it comes to low budget movie from small studio. 
This is the ""hunchback of notre dame 2"" of Marvel.
Most of the things in this movie are okayish
But not enought

Bring ambitious, emotionaly smart, and intersting movie back
Im tired to see those low quality , and uninspired movie all the Time
Sequel/spin-off/remake , is that all modern company are hable to produce????",Samuel D,2024-06-14,type movie quality okay come low budget movie small studio hatchback notre dame marvel thing movie grayish enough bring ambitious emotional smart interesting movie back im tired see low quality inspired movie time sequelspinoffremake modern company table produce,positivo
184,184,"It wasn't the greatest Marvel movie I've seen, and it wasn't the worst.
I am wondering what's been going on with the writing lately. Visuals were cool but I wouldn't watch it again or recommend it to a friend.",,2024-06-14,wasnt greatest marvel movie ive seen wasnt worst wondering whats going writing lately visuals cool wouldnt watch recommend friend,negativo
185,185,"sony managed to make a movie worse than morbius so good job sony i guess. the writing is absolutely terrible, the acting is some of the most half-hearted and low-effort attempts at acting that i have ever seen, the story is incredibly stupid, all the main characters make incredibly stupid decisions throughout (the grenade bit was so stupid it hurt, like why didn't he just bring a gun, go up to them and shoot them with it once their car got stuck, heck why didn't he just bring a gun when he chased them on the subway?), and the final battle was one of the dumbest things ive ever seen (though it did really make me want to buy a bottle of pepsi after watching it). the only reason you should watch this movie is if you want to laugh at how bad it is.",kc j,2024-06-14,sony managed make movie worse orbits good job sony guess writing absolutely terrible acting halfhearted loweffort attempt acting ever seen story incredibly stupid main character make incredibly stupid decision throughout grenade bit stupid hurt like didnt bring gun go shoot car got stuck heck didnt bring gun chased subway final battle one dumbest thing ive ever seen though really make want buy bottle pepsi watching reason watch movie want laugh bad,negativo
186,186,"It started out really bad, then it was kinda ok for a while, and then the end was awful. The ripoff of the famous Spiderman line was not just silly it was really poorly written.",,2024-06-11,started really bad kinda ok end awful runoff famous sideman line silly really poorly written,negativo
187,187,I enjoyed throwing up in my mouth more,Parz H,2024-06-11,enjoyed throwing mouth,positivo
188,188,Comically terrible.,Blake L,2024-06-11,nominally terrible,negativo
189,189,"Filled with one dimensional characters, boring action with a dull script, and a main character who isn’t explored well at all, this film is a stinker all around. Skip this one as there is no reason Madame Web should be a film whatsoever.",,2024-06-10,filled one dimensional character boring action dull script main character ’ explored well film sticker around skip one reason madame web film whatsoever,negativo
190,190,Madame Web is the most unlikable lead in any superhero movie.,Jacob B,2024-06-10,madame web unlikable lead superhero movie,neutro
191,191,I usually do not rate on RT but this is the biggest piece of trash I have ever seen…,Nathaniel G,2024-06-10,usually rate rt biggest piece trash ever seen…,neutro
192,192,"Very good INTRODUCTORY movie for Madame Web. Dont listen to the haters here.

If you’re here reading reviews to see if this movie is worth watching, WATCH IT. Dont watch this movie from other people’s perspective. 

The story telling is not bad. Could it have been better? Of course. But its not bad!

Dakota Johnson and Adam Scott did great here. Some other actors/actresses could’ve done better. 

Overall, its a good movie, IMO.",Kiko E,2024-06-10,good introductory movie madame web dont listen later ’ reading review see movie worth watching watch dont watch movie people ’ perspective story telling bad could better course bad dakota johnson adam scott great actorsactresses could ’ done better overall good movie imo,positivo
193,193,"Very badly written (plot? dialogues?), badly acted. Pity the idea was viable, completely blew it",Dario G,2024-06-10,badly written plot dialogue badly acted pity idea viable completely blew,negativo
194,194,It was overall entertaining and different as superhero movies go. It wasn’t as bad as everyone made it out to be.  It is kinda slow and some generic moments but a sequel wld be worthwhile. I wld have liked to see the spider sisters in action- although that’s highly unlikely to come into fruition. Oh well.,Joey F,2024-06-10,overall entertaining different superhero movie go ’ bad everyone made kinda slow generic moment sequel old worthwhile old liked see spider sister action although ’ highly unlikely come fruition oh well,positivo
195,195,Wh... what tf did I just watch!?,Alexandre D,2024-06-10,wh tf watch,neutro
196,196,WFT  WFT  WFT  WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT WFT,jordin p,2024-06-10,ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft ft,neutro
197,197,This is simply the worst movie I've seen all year. The acting was horrible and the dialogue was even worse. The only thing going for this movie was some of the special effects. I could have cut the grass and had a better time.,Eric W,2024-06-09,simply worst movie ive seen year acting horrible dialogue even worse thing going movie special effect could cut grass better time,negativo
198,198,"Don't think of stepping in the Sony office in caution

They will cast you when you don't know it",Anthony H,2024-06-09,dont think stepping sony office caution cast dont know,neutro
199,199,"I thoroughly enjoyed Madame Web. It was a great origin story on par with Spider-Man, and I dare say better than the first Captain America movie, The Marvels, and WAY better than both Venom movies.

I read some of the critic reviews and words like ""forgettable,"" ""predictable,"" and ""formulaic"" were thrown around. Well, what superhero origin story ISN'T predictable and formulaic? And the movie was NOT forgettable. I'm pretty sure the critics who think it was forgettable would have had a totally different opinion had this been called Mister Web.

This movie has sequel potential, and I hope the fact that it is quickly becoming a cult classic will prompt studios to make at least one. And, Dakota Johnson, if you are invited to return as Madame Web, do it and take pride in your work! I think part of the reason people dogged the movie is because Johnson did a horrible job promoting her own work.",Terminator L,2024-06-09,thoroughly enjoyed madame web great origin story par sideman dare say better first captain america movie marvel way better venom movie read critic review word like unforgettable predictable formulaic thrown around well superhero origin story isnt predictable formulaic movie unforgettable im pretty sure critic think unforgettable would totally different opinion called mister web movie sequel potential hope fact quickly becoming cult classic prompt studio make least one dakota johnson invited return madame web take pride work think part reason people dogged movie johnson horrible job promoting work,positivo
280,280,"It's a great origin story, and surprisingly better than some of the other marvel movies of late! Pleasantly surprised",Brina A,2024-06-09,great origin story surprisingly better marvel movie late pleasant surprised,positivo
281,281,"If it was a little more longer , more actions maybe more people would like it.",Sarah-Anny T,2024-06-08,little longer action maybe people would like,positivo
282,282,"En lo personal me gustó la película aunque si tiene sus errores y perfectamente puedo entender las malas críticas de la película, si algo puedo decir que no me gustó es el hecho de que pudieron actualizar la historia de Madame web en lugar de forzarla a una trama que pudo ser mejor, pero en general me gustó y si la miras con intención de encontrá algo malo no la disfrutaras pero si la ves como una película normal, puede gustarte o por lo menos disfrutar lo que ofrece",jonathan m,2024-06-08,personally liked movie although mistake perfectly understand bad criticism movie say like fact could update story madame web instead forcing plotthat could better general liked look intention finding something bad enjoy see normal movie may like least enjoy offer,positivo
283,283,"Just one comment: she uses a 30-year-old picture of a natural place to compare if she is in the right place. Cause trees don’t grow O.o 
Too bad she cannot change the past and prevent this movie from being filmed.",,2024-06-07,one comment us yearly picture natural place compare right place cause tree ’ grow oo bad change past prevent movie filmed,negativo
284,284,"Kan het niet helpen. Wilde graag meer webslingers maar dit slappe verhaal , slecht geacteerd voor greenscreens is jammer. Nadat ze Spiderman in zijn game gecastreerd (mj) en overbodig ( miles) maakten.is dit de volgende mislukking in de spidyverse.",EJ K,2024-06-07,helpwanted weblingers weak story poorly acted greenscreens pityafter castrated sideman game mj superfluous mile next failure spidyverse,negativo
285,285,Reused shots from spiderman. the grenade scene was embracing. did AI write this?,Kenneth L,2024-06-07,reused shot sideman grenade scene embracing ai write,neutro
286,286,"Madame Web is a film that shouldn't have been released with noticeable ADR hilarious bad acting and the inhuman dialogue that only an alien could understand it that I would not recommend to anyone unless they are under the influence of substances or if they are looking for a bad time and a terrible film. Please, for the love of cinema, don't watch this film. It will make it seem like we like this stuff, therefore movie studios will greenlit for stuff like this. DO NOT WATCH THIS",,2024-06-06,madame web film shouldnt released noticeable adr hilarious bad acting inhuman dialogue alien could understand would recommend anyone unless influence substance looking bad time terrible film please love cinema dont watch film make seem like like stuff therefore movie studio greenlit stuff like watch,positivo
287,287,I did not like how the movie was flowing so I did not finish the movie,Mario V,2024-06-06,like movie flowing finish movie,positivo
288,288,Power of the spider. Wish I could bleach my brain & scrub this from my mind,Gav C,2024-06-05,power spider wish could bleach brain scrub mind,positivo
289,289,"If I could give 0 stars i would. The idea for the movie was amazing. The outcome, was horrible. The acting was rancid, I felt zero emotion out of almost every actor that was in this movie. It was slow, and sloppy, and all out boring. The acting honestly felt like a middle school talent show, except middle schoolers could act better. Another low from Marvel. A shame.",Sam W,2024-06-05,could give star would idea movie amazing outcome horrible acting rcid felt zero emotion almost every actor movie slow sloppy boring acting honestly felt like middle school talent show except middle schools could act better another low marvel shame,positivo
290,290,"Marvel is producing pointless movies nowadays. I'm only giving rating because I watched movie in office hours because its marvels movie but such a waste of time. Despite being a big fan in the past, their recent films lack logic, are tedious, and feel like a waste of time.",Noman javed R,2024-06-05,marvel producing pointless movie nowadays im giving rating watched movie office hour marvel movie waste time despite big fan past recent film lack logic tedious feel like waste time,positivo
291,291,"I guess there’s some decent product placement. But even that could’ve been better. I feel genuinely bad for Dakota Johnson. Despite being set in the 2000s, this movie wouldn’t have even made it straight to video. At the very best it makes me dream of Ben Affleck’s Daredevil with fond remembrance.",Phoenix L,2024-06-05,guess ’ decent product placement even could ’ better feel genuinely bad dakota johnson despite set movie ’ even made straight video best make dream ben affleck ’ daredevil fond remembrance,positivo
292,292,"How can a modern, big budget movie be this bad? Was the bad guys voice dubbed? SJ Clarkson should not allowed to direct a movie again.",Nathan C,2024-06-05,modern big budget movie bad bad guy voice dubbed sj clarkson allowed direct movie,negativo
